Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,914,4.704,- 0,5,- 0,975,- 0,664,7.262,
BUENOS AIRES,25 de Mayo,Del Valle,6854020,181,- 0,- 0,- 0,10,1,- 0,- 0,192,
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,181,181,
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,- 0,782,- 0,- 0,18,- 0,- 0,327,1.127,
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,6,6,
BUENOS AIRES,25 de Mayo,Ernestina,6854030,66,- 0,- 0,- 0,- 0,- 0,- 0,- 0,66,
BUENOS AIRES,25 de Mayo,Pedernales,6854070,568,- 0,- 0,- 0,- 0,- 0,- 0,7,575,
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,19,19,
BUENOS AIRES,9 de Julio,9 de Julio,6588100,4.389,3.329,83,5.892,1,1,- 0,831,14.526,
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,450,- 0,- 0,- 0,60,- 0,- 0,- 0,510,
BUENOS AIRES,9 de Julio,Dudignac,6588040,- 0,- 0,1,- 0,- 0,- 0,- 0,463,464,
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,199,- 0,- 0,2,2,- 0,- 0,- 0,203,
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,- 0,- 0,- 0,88,- 0,- 0,- 0,42,130,
BUENOS AIRES,9 de Julio,Patricios,6588110,76,- 0,- 0,- 0,- 0,- 0,- 0,- 0,76,
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,785,- 0,1,1.419,1,- 0,- 0,283,2.489,
