Año,Mes,Personal,Claro,Nextel,Movistar,Periodo
2012,3,-17,19,0,-2,Mar-12
2012,4,3.508,-1.134,-189,-2.185,Apr-12
2012,5,1.253,4.792,-853,-5.192,May-12
2012,6,3.263,-1.248,-848,-1.167,Jun-12
2012,7,5.554,-3.847,-1.105,-602,Jul-12
2012,8,3.131,-1.622,-1.265,-244,Aug-12
2012,9,3.701,568,-1.637,-2.632,Sep-12
2012,10,3.894,1.870,-1.768,-3.996,Oct-12
2012,11,2.358,1.124,-1.326,-2.156,Nov-12
2012,12,671,2.452,-1.478,-1.645,Dec-12
2013,1,1.186,3.149,-1.267,-3.068,Jan-13
2013,2,-142,1.282,-806,-334,Feb-13
2013,3,173,778,-1.042,91,Mar-13
2013,4,-1.637,3.847,-1.548,-662,Apr-13
2013,5,-2.078,3.972,-1.427,-467,May-13
2013,6,-1.442,2.990,-1.162,-386,Jun-13
2013,7,-2.748,5.868,-1.695,-1.425,Jul-13
2013,8,-4.255,6.698,-1.451,-992,Aug-13
2013,9,-1.032,6.026,-1.835,-3.159,Sep-13
2013,10,-335,4.638,-1.567,-2.736,Oct-13
2013,11,-715,4.705,-1.382,-2.608,Nov-13
2013,12,2.319,3.903,-1.333,-4.889,Dec-13
2014,1,-200,6.135,-1.090,-4.845,Jan-14
2014,2,-2.152,8.757,-1.074,-5.531,Feb-14
2014,3,-2.314,10.604,-1.252,-7.038,Mar-14
2014,4,3.252,7.131,-1.551,-8.832,Apr-14
2014,5,-846,8.606,-1.661,-6.099,May-14
2014,6,-8.059,18.958,-2.321,-8.578,Jun-14
2014,7,-8.914,16.039,-1.992,-5.133,Jul-14
2014,8,-5.095,16.506,-1.859,-9.552,Aug-14
2014,9,-807,11.581,-2.018,-8.756,Sep-14
2014,10,5.607,8.777,-2.051,-12.333,Oct-14
2014,11,-1.780,11.769,-1.235,-8.754,Nov-14
2014,12,4.643,12.160,-1.350,-15.453,Dec-14
2015,1,3.041,15.835,-1.465,-17.411,Jan-15
2015,2,-3.283,20.246,-1.096,-15.867,Feb-15
2015,3,-3.860,22.138,-1.311,-16.967,Mar-15
2015,4,-8.856,33.859,-1.574,-23.429,Apr-15
2015,5,-7.273,35.342,-1.384,-26.685,May-15
2015,6,340,38.116,-2.136,-36.320,Jun-15
2015,7,-5.374,34.587,-1.975,-27.238,Jul-15
2015,8,-5.840,30.912,-1.888,-23.184,Aug-15
2015,9,-15.094,37.873,-1.921,-20.858,Sep-15
2015,10,-14.975,29.740,-2.186,-12.579,Oct-15
2015,11,-8.894,12.088,-2.053,-1.141,Nov-15
2015,12,1.467,11.232,-1.917,-10.782,Dec-15
2016,1,-941,9.045,-1.607,-6.497,Jan-16
2016,2,-3.112,8.746,-1.843,-3.791,Feb-16
2016,3,-5.977,2.649,-2.443,5.771,Mar-16
2016,4,-11.871,7.300,-2.956,7.527,Apr-16
2016,5,-10.221,4.389,-3.014,8.846,May-16
2016,6,-6.568,-243,-3.496,10.307,Jun-16
2016,7,-7.617,936,-3.872,10.553,Jul-16
2016,8,-7.011,1.891,-4.697,9.817,Aug-16
2016,9,4.031,7.003,-4.321,-6.713,Sep-16
2016,10,2.337,10.836,-4.964,-8.209,Oct-16
2016,11,-402,1.645,-4.582,3.339,Nov-16
2016,12,-453,5.814,-4.395,-966,Dec-16
2017,1,-44,10.231,-3.394,-6.793,Jan-17
2017,2,-7.817,7.210,-2.369,2.976,Feb-17
2017,3,-15.904,6.519,-2.801,12.186,Mar-17
2017,4,-18.668,2.704,-2.540,18.504,Apr-17
2017,5,-18.568,1.028,-3.005,20.545,May-17
2017,6,-12.652,-7.104,-3.059,22.815,Jun-17
2017,7,-15.445,-4.709,-2.820,22.974,Jul-17
2017,8,-11.738,-5.405,-3.247,20.390,Aug-17
2017,9,-9.133,-8.596,-2.480,20.209,Sep-17
2017,10,-4.870,-8.320,-2.834,16.024,Oct-17
2017,11,-1.265,-8.424,-2.501,12.190,Nov-17
2017,12,-1.743,-5.784,-2.041,9.568,Dec-17
2018,1,156,1.868,,-2.024,Jan-18
2018,2,1.463,310,,-1.773,Feb-18
2018,3,-1.849,4.674,,-2.825,Mar-18
2018,4,3.344,1.259,,-4.603,Apr-18
2018,5,13.904,-2.548,,-11.356,May-18
2018,6,17.019,-5.019,,-12.000,Jun-18
2018,7,13.149,-6.045,,-7.104,Jul-18
2018,8,8.202,-2.546,,-5.656,Aug-18
2018,9,7.798,-3.796,,-4.002,Sep-18
2018,10,6.195,-1.349,,-4.846,Oct-18
2018,11,18.313,-4.153,,-14.160,Nov-18
2018,12,11.317,-420,,-10.897,Dec-18
